key	synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
0	2013	5	4	30 ára-	24	false	0.0	0	4	12	0	0	344817.333333
1	2013	6	4	30 ára-	24	false	0.0	0	4	12	0	0	357665.333333
2	2013	10	4	55-59 ára	23	false	3.9	0	4	12	0	0	445498.248862
3	2013	10	4	60 ára+	19	false	19.5	0	4	12	0	0	513813.910978
4	2013	9	4	38-54 ára	24	false	0.0	0	4	12	0	0	409416.333333
5	2013	10	4	38-54 ára	24	false	0.0	0	4	12	0	0	428419.333333
6	2013	7	4	30-37 ára	24	false	0.0	0	4	12	0	0	374081.333333
7	2013	8	4	30-37 ára	24	false	0.0	0	4	12	0	0	391317.333333
8	Íslenska	5	4	30 ára-	24	True	654.08	27.2533333333	4	12	15	720	502955.333333
9	Íslenska	5	4	30 ára-	24	False	681.333333333	0.0	4	12	15	720	502955.333333
10	Íslenska	6	4	30 ára-	24	True	654.08	27.2533333333	4	12	15	720	527585.333333
11	Íslenska	6	4	30 ára-	24	False	681.333333333	0.0	4	12	15	720	527585.333333
12	Íslenska	10	4	55-59 ára	23	True	654.08	27.2533333333	4	12	15	667	639056.333333
13	Íslenska	10	4	55-59 ára	23	False	681.333333333	0.0	4	12	15	667	654654.077737
14	Íslenska	10	4	60 ára+	19	True	654.08	27.2533333333	4	12	15	551	751229.507272
15	Íslenska	10	4	60 ára+	19	False	681.333333333	0.0	4	12	15	551	780886.985934
16	Íslenska	9	4	38-54 ára	24	True	654.08	27.2533333333	4	12	15	696	609117.333333
17	Íslenska	9	4	38-54 ára	24	False	681.333333333	0.0	4	12	15	696	609117.333333
18	Íslenska	10	4	38-54 ára	24	True	654.08	27.2533333333	4	12	15	696	639056.333333
19	Íslenska	10	4	38-54 ára	24	False	681.333333333	0.0	4	12	15	696	639056.333333
20	Íslenska	7	4	30-37 ára	24	True	654.08	27.2533333333	4	12	15	708	553447.333333
21	Íslenska	7	4	30-37 ára	24	False	681.333333333	0.0	4	12	15	708	553447.333333
22	Íslenska	8	4	30-37 ára	24	True	654.08	27.2533333333	4	12	15	708	580604.333333
23	Íslenska	8	4	30-37 ára	24	False	681.333333333	0.0	4	12	15	708	580604.333333
24	Tungumál	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	502955.333333
25	Tungumál	5	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	502955.333333
26	Tungumál	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	527585.333333
27	Tungumál	6	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	527585.333333
28	Tungumál	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	15	667	639056.333333
29	Tungumál	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	15	667	641595.501027
30	Tungumál	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	15	551	738693.273631
31	Tungumál	10	4	60 ára+	19	False	669.333333333	0.0	4	12	15	551	767828.409224
32	Tungumál	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	609117.333333
33	Tungumál	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	609117.333333
34	Tungumál	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	639056.333333
35	Tungumál	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	639056.333333
36	Tungumál	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	553447.333333
37	Tungumál	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	553447.333333
38	Tungumál	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	580604.333333
39	Tungumál	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	580604.333333
40	Raungreinar	5	4	30 ára-	24	True	635.52	26.48	4	12	15	720	502955.333333
41	Raungreinar	5	4	30 ára-	24	False	662.0	0.0	4	12	15	720	502955.333333
42	Raungreinar	6	4	30 ára-	24	True	635.52	26.48	4	12	15	720	527585.333333
43	Raungreinar	6	4	30 ára-	24	False	662.0	0.0	4	12	15	720	527585.333333
44	Raungreinar	10	4	55-59 ára	23	True	635.52	26.48	4	12	15	667	639056.333333
45	Raungreinar	10	4	55-59 ára	23	False	662.0	0.0	4	12	15	667	639056.333333
46	Raungreinar	10	4	60 ára+	19	True	635.52	26.48	4	12	15	551	731032.241961
47	Raungreinar	10	4	60 ára+	19	False	662.0	0.0	4	12	15	551	759848.167901
48	Raungreinar	9	4	38-54 ára	24	True	635.52	26.48	4	12	15	696	609117.333333
49	Raungreinar	9	4	38-54 ára	24	False	662.0	0.0	4	12	15	696	609117.333333
50	Raungreinar	10	4	38-54 ára	24	True	635.52	26.48	4	12	15	696	639056.333333
51	Raungreinar	10	4	38-54 ára	24	False	662.0	0.0	4	12	15	696	639056.333333
52	Raungreinar	7	4	30-37 ára	24	True	635.52	26.48	4	12	15	708	553447.333333
53	Raungreinar	7	4	30-37 ára	24	False	662.0	0.0	4	12	15	708	553447.333333
54	Raungreinar	8	4	30-37 ára	24	True	635.52	26.48	4	12	15	708	580604.333333
55	Raungreinar	8	4	30-37 ára	24	False	662.0	0.0	4	12	15	708	580604.333333
56	Stærðfræði	5	4	30 ára-	24	True	627.2	26.1333333333	4	12	15	720	502955.333333
57	Stærðfræði	5	4	30 ára-	24	False	653.333333333	0.0	4	12	15	720	502955.333333
58	Stærðfræði	6	4	30 ára-	24	True	627.2	26.1333333333	4	12	15	720	527585.333333
59	Stærðfræði	6	4	30 ára-	24	False	653.333333333	0.0	4	12	15	720	527585.333333
60	Stærðfræði	10	4	55-59 ára	23	True	627.2	26.1333333333	4	12	15	667	639056.333333
61	Stærðfræði	10	4	55-59 ára	23	False	653.333333333	0.0	4	12	15	667	639056.333333
62	Stærðfræði	10	4	60 ára+	19	True	627.2	26.1333333333	4	12	15	551	721978.295442
63	Stærðfræði	10	4	60 ára+	19	False	653.333333333	0.0	4	12	15	551	750416.97361
