synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
2013	5	4	30 ára-	24	false	0.0	0	4	12	0	0	344817.333333
2013	6	4	30 ára-	24	false	0.0	0	4	12	0	0	357665.333333
2013	10	4	55-59 ára	23	false	23.4	0	4	12	0	0	428419.333333
2013	10	4	60 ára+	19	false	117.0	0	4	12	0	0	428419.333333
2013	9	4	38-54 ára	24	false	0.0	0	4	12	0	0	409416.333333
2013	10	4	38-54 ára	24	false	0.0	0	4	12	0	0	428419.333333
2013	7	4	30-37 ára	24	false	0.0	0	4	12	0	0	374081.333333
2013	8	4	30-37 ára	24	false	0.0	0	4	12	0	0	391317.333333
Íslenska	5	4	30 ára-	24	True	654.08	27.2533333333	4	12	15	720	502955.333333
Íslenska	5	4	30 ára-	24	False	681.333333333	0.0	4	12	15	720	502955.333333
Íslenska	6	4	30 ára-	24	True	654.08	27.2533333333	4	12	15	720	527585.333333
Íslenska	6	4	30 ára-	24	False	681.333333333	0.0	4	12	15	720	527585.333333
Íslenska	10	4	55-59 ára	23	True	654.08	27.2533333333	4	12	15	667	639056.333333
Íslenska	10	4	55-59 ára	23	False	681.333333333	0.0	4	12	15	667	654654.077737
Íslenska	10	4	60 ára+	19	True	654.08	27.2533333333	4	12	15	551	751229.507272
Íslenska	10	4	60 ára+	19	False	681.333333333	0.0	4	12	15	551	780886.985934
Íslenska	9	4	38-54 ára	24	True	654.08	27.2533333333	4	12	15	696	609117.333333
Íslenska	9	4	38-54 ára	24	False	681.333333333	0.0	4	12	15	696	609117.333333
Íslenska	10	4	38-54 ára	24	True	654.08	27.2533333333	4	12	15	696	639056.333333
Íslenska	10	4	38-54 ára	24	False	681.333333333	0.0	4	12	15	696	639056.333333
Íslenska	7	4	30-37 ára	24	True	654.08	27.2533333333	4	12	15	708	553447.333333
Íslenska	7	4	30-37 ára	24	False	681.333333333	0.0	4	12	15	708	553447.333333
Íslenska	8	4	30-37 ára	24	True	654.08	27.2533333333	4	12	15	708	580604.333333
Íslenska	8	4	30-37 ára	24	False	681.333333333	0.0	4	12	15	708	580604.333333
Tungumál	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	502955.333333
Tungumál	5	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	502955.333333
Tungumál	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	527585.333333
Tungumál	6	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	527585.333333
Tungumál	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	15	667	639056.333333
Tungumál	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	15	667	641595.501027
Tungumál	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	15	551	738693.273631
Tungumál	10	4	60 ára+	19	False	669.333333333	0.0	4	12	15	551	767828.409224
Tungumál	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	609117.333333
Tungumál	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	609117.333333
Tungumál	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	639056.333333
Tungumál	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	639056.333333
Tungumál	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	553447.333333
Tungumál	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	553447.333333
Tungumál	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	580604.333333
Tungumál	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	580604.333333
Raungreinar	5	4	30 ára-	24	True	635.52	26.48	4	12	15	720	502955.333333
Raungreinar	5	4	30 ára-	24	False	662.0	0.0	4	12	15	720	502955.333333
Raungreinar	6	4	30 ára-	24	True	635.52	26.48	4	12	15	720	527585.333333
Raungreinar	6	4	30 ára-	24	False	662.0	0.0	4	12	15	720	527585.333333
Raungreinar	10	4	55-59 ára	23	True	635.52	26.48	4	12	15	667	639056.333333
Raungreinar	10	4	55-59 ára	23	False	662.0	0.0	4	12	15	667	639056.333333
